order,order_name,year,month,geo_fips,state_fips,county_fips,state_abbrev,county_name,producers,milk_pounds,row_type,mappable
30,Upper Midwest,2025,December,27057.0,27,57.0,MN,Hubbard,,,county,0
30,Upper Midwest,2025,December,27059.0,27,59.0,MN,Isanti,,,county,0
30,Upper Midwest,2025,December,27065.0,27,65.0,MN,Kanabec,,,county,0
30,Upper Midwest,2025,December,27067.0,27,67.0,MN,Kandiyohi,5.0,1282057.0,county,1
30,Upper Midwest,2025,December,27079.0,27,79.0,MN,Le Sueur,4.0,284138.0,county,1
30,Upper Midwest,2025,December,27081.0,27,81.0,MN,Lincoln,,,county,0
30,Upper Midwest,2025,December,27085.0,27,85.0,MN,McLeod,10.0,2855412.0,county,1
30,Upper Midwest,2025,December,27089.0,27,89.0,MN,Marshall,,,county,0
30,Upper Midwest,2025,December,27093.0,27,93.0,MN,Meeker,4.0,4784053.0,county,1
30,Upper Midwest,2025,December,27095.0,27,95.0,MN,Mille Lacs,6.0,480046.0,county,1
30,Upper Midwest,2025,December,27097.0,27,97.0,MN,Morrison,46.0,8811677.0,county,1
30,Upper Midwest,2025,December,27099.0,27,99.0,MN,Mower,9.0,3284254.0,county,1
30,Upper Midwest,2025,December,27101.0,27,101.0,MN,Murray,,,county,0
30,Upper Midwest,2025,December,27103.0,27,103.0,MN,Nicollet,6.0,1229803.0,county,1
30,Upper Midwest,2025,December,27107.0,27,107.0,MN,Norman,,,county,0
30,Upper Midwest,2025,December,27109.0,27,109.0,MN,Olmsted,12.0,7460079.0,county,1
30,Upper Midwest,2025,December,27111.0,27,111.0,MN,Otter Tail,23.0,7664519.0,county,1
30,Upper Midwest,2025,December,27113.0,27,113.0,MN,Pennington,,,county,0
30,Upper Midwest,2025,December,27115.0,27,115.0,MN,Pine,6.0,2573382.0,county,1
30,Upper Midwest,2025,December,27117.0,27,117.0,MN,Pipestone,4.0,888816.0,county,1
30,Upper Midwest,2025,December,27119.0,27,119.0,MN,Polk,3.0,2021389.0,county,1
30,Upper Midwest,2025,December,27121.0,27,121.0,MN,Pope,,,county,0
30,Upper Midwest,2025,December,27123.0,27,123.0,MN,Ramsey,,,county,0
30,Upper Midwest,2025,December,27125.0,27,125.0,MN,Red Lake,,,county,0
30,Upper Midwest,2025,December,27127.0,27,127.0,MN,Redwood,,,county,0
30,Upper Midwest,2025,December,27129.0,27,129.0,MN,Renville,,,county,0
30,Upper Midwest,2025,December,27131.0,27,131.0,MN,Rice,19.0,6913657.0,county,1
30,Upper Midwest,2025,December,27135.0,27,135.0,MN,Roseau,,,county,0
30,Upper Midwest,2025,December,27139.0,27,139.0,MN,Scott,13.0,2434669.0,county,1
30,Upper Midwest,2025,December,27141.0,27,141.0,MN,Sherburne,,,county,0
30,Upper Midwest,2025,December,27143.0,27,143.0,MN,Sibley,11.0,2630268.0,county,1
30,Upper Midwest,2025,December,27145.0,27,145.0,MN,Stearns,123.0,19969286.0,county,1
30,Upper Midwest,2025,December,27147.0,27,147.0,MN,Steele,8.0,1871647.0,county,1
30,Upper Midwest,2025,December,27149.0,27,149.0,MN,Stevens,3.0,10065677.0,county,1
30,Upper Midwest,2025,December,27153.0,27,153.0,MN,Todd,9.0,5848429.0,county,1
30,Upper Midwest,2025,December,27157.0,27,157.0,MN,Wabasha,26.0,9990964.0,county,1
30,Upper Midwest,2025,December,27159.0,27,159.0,MN,Wadena,6.0,909534.0,county,1
30,Upper Midwest,2025,December,27161.0,27,161.0,MN,Waseca,3.0,442072.0,county,1
30,Upper Midwest,2025,December,27163.0,27,163.0,MN,Washington,,,county,0
30,Upper Midwest,2025,December,27165.0,27,165.0,MN,Watonwan,,,county,0
30,Upper Midwest,2025,December,27169.0,27,169.0,MN,Winona,64.0,30019187.0,county,1
30,Upper Midwest,2025,December,27171.0,27,171.0,MN,Wright,22.0,8255127.0,county,1
30,Upper Midwest,2025,December,55001.0,55,1.0,WI,Adams,6.0,22662915.0,county,1
30,Upper Midwest,2025,December,55003.0,55,3.0,WI,Ashland,,,county,0
30,Upper Midwest,2025,December,55005.0,55,5.0,WI,Barron,33.0,5900620.0,county,1
30,Upper Midwest,2025,December,55007.0,55,7.0,WI,Bayfield,,,county,0
30,Upper Midwest,2025,December,55009.0,55,9.0,WI,Brown,61.0,55799062.0,county,1
30,Upper Midwest,2025,December,55011.0,55,11.0,WI,Buffalo,36.0,16819659.0,county,1
30,Upper Midwest,2025,December,55013.0,55,13.0,WI,Burnett,,,county,0
30,Upper Midwest,2025,December,55015.0,55,15.0,WI,Calumet,31.0,26838680.0,county,1
30,Upper Midwest,2025,December,55017.0,55,17.0,WI,Chippewa,57.0,12808636.0,county,1
30,Upper Midwest,2025,December,55019.0,55,19.0,WI,Clark,93.0,31008176.0,county,1
30,Upper Midwest,2025,December,55021.0,55,21.0,WI,Columbia,26.0,4098928.0,county,1
30,Upper Midwest,2025,December,55023.0,55,23.0,WI,Crawford,27.0,5408653.0,county,1
30,Upper Midwest,2025,December,55025.0,55,25.0,WI,Dane,91.0,20898870.0,county,1
30,Upper Midwest,2025,December,55027.0,55,27.0,WI,Dodge,88.0,34057514.0,county,1
30,Upper Midwest,2025,December,55029.0,55,29.0,WI,Door,13.0,11882676.0,county,1
30,Upper Midwest,2025,December,55031.0,55,31.0,WI,Douglas,3.0,188914.0,county,1
30,Upper Midwest,2025,December,55033.0,55,33.0,WI,Dunn,22.0,19078231.0,county,1
30,Upper Midwest,2025,December,55035.0,55,35.0,WI,Eau Claire,11.0,2904921.0,county,1
30,Upper Midwest,2025,December,55039.0,55,39.0,WI,Fond du Lac,76.0,56901092.0,county,1
30,Upper Midwest,2025,December,55043.0,55,43.0,WI,Grant,115.0,29584570.0,county,1
30,Upper Midwest,2025,December,55045.0,55,45.0,WI,Green,68.0,20139443.0,county,1
30,Upper Midwest,2025,December,55047.0,55,47.0,WI,Green Lake,10.0,7110599.0,county,1
30,Upper Midwest,2025,December,55049.0,55,49.0,WI,Iowa,75.0,15448968.0,county,1
30,Upper Midwest,2025,December,55053.0,55,53.0,WI,Jackson,20.0,7327336.0,county,1
30,Upper Midwest,2025,December,55055.0,55,55.0,WI,Jefferson,32.0,12872631.0,county,1
30,Upper Midwest,2025,December,55057.0,55,57.0,WI,Juneau,21.0,6435595.0,county,1
30,Upper Midwest,2025,December,55059.0,55,59.0,WI,Kenosha,9.0,1832684.0,county,1
30,Upper Midwest,2025,December,55061.0,55,61.0,WI,Kewaunee,39.0,15170008.0,county,1
30,Upper Midwest,2025,December,55063.0,55,63.0,WI,La Crosse,14.0,6089372.0,county,1
30,Upper Midwest,2025,December,55065.0,55,65.0,WI,LaFayette,70.0,11905314.0,county,1
30,Upper Midwest,2025,December,55067.0,55,67.0,WI,Langlade,7.0,3309805.0,county,1
30,Upper Midwest,2025,December,55069.0,55,69.0,WI,Lincoln,3.0,695615.0,county,1
30,Upper Midwest,2025,December,55071.0,55,71.0,WI,Manitowoc,85.0,43149892.0,county,1
30,Upper Midwest,2025,December,55073.0,55,73.0,WI,Marathon,46.0,19711719.0,county,1
30,Upper Midwest,2025,December,55075.0,55,75.0,WI,Marinette,18.0,16267520.0,county,1
30,Upper Midwest,2025,December,55077.0,55,77.0,WI,Marquette,7.0,9052642.0,county,1
30,Upper Midwest,2025,December,55081.0,55,81.0,WI,Monroe,49.0,18313707.0,county,1
30,Upper Midwest,2025,December,55083.0,55,83.0,WI,Oconto,24.0,14642166.0,county,1
30,Upper Midwest,2025,December,55087.0,55,87.0,WI,Outagamie,46.0,22227950.0,county,1
30,Upper Midwest,2025,December,55089.0,55,89.0,WI,Ozaukee,13.0,10019759.0,county,1
30,Upper Midwest,2025,December,55091.0,55,91.0,WI,Pepin,11.0,4492040.0,county,1
30,Upper Midwest,2025,December,55093.0,55,93.0,WI,Pierce,41.0,7681511.0,county,1
30,Upper Midwest,2025,December,55095.0,55,95.0,WI,Polk,15.0,4774084.0,county,1
30,Upper Midwest,2025,December,55097.0,55,97.0,WI,Portage,3.0,1727375.0,county,1
30,Upper Midwest,2025,December,55099.0,55,99.0,WI,Price,3.0,81353.0,county,1
30,Upper Midwest,2025,December,55101.0,55,101.0,WI,Racine,13.0,3425212.0,county,1
30,Upper Midwest,2025,December,55103.0,55,103.0,WI,Richland,29.0,15672878.0,county,1
30,Upper Midwest,2025,December,55105.0,55,105.0,WI,Rock,26.0,7343174.0,county,1
